Age,Attrition,Department,EmployeeNumber,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
30,No,Research & Development,292,Male,3,Manufacturing Director,3,Single,8474,No,22,4,2,3,11,8,5
27,No,Sales,293,Female,2,Sales Executive,3,Single,9981,No,14,3,2,3,7,7,0
51,No,Research & Development,296,Male,3,Research Director,2,Married,12490,No,16,3,5,1,10,9,4
30,Yes,Research & Development,297,Female,1,Research Scientist,1,Single,2657,Yes,11,3,5,3,5,2,0
41,No,Sales,298,Female,3,Manager,4,Single,13591,Yes,18,3,3,3,1,0,0
30,Yes,Sales,299,Female,2,Sales Executive,1,Single,6696,No,15,3,5,2,6,3,0
29,Yes,Research & Development,300,Male,1,Research Scientist,3,Single,2058,No,14,3,1,2,6,2,1
45,No,Sales,302,Female,3,Sales Executive,4,Single,8865,No,12,3,2,3,19,7,12
54,No,Sales,303,Female,2,Sales Executive,1,Married,5940,No,14,3,4,3,6,2,0
36,No,Research & Development,304,Male,2,Laboratory Technician,2,Single,5914,No,16,3,3,4,13,11,3
33,No,Research & Development,305,Female,1,Research Scientist,2,Married,2622,No,21,4,3,3,3,2,1
37,No,Research & Development,306,Male,3,Research Director,4,Divorced,12185,Yes,14,3,1,3,10,8,0
38,No,Sales,307,Male,3,Sales Executive,3,Divorced,10609,No,12,3,6,2,16,10,5
31,No,Research & Development,308,Male,2,Manufacturing Director,3,Married,4345,No,12,3,2,3,5,4,1
59,No,Research & Development,309,Male,1,Research Scientist,4,Married,2177,No,17,3,6,3,1,0,0
37,No,Sales,311,Male,1,Sales Representative,4,Divorced,2793,No,17,3,2,3,9,8,5
29,No,Sales,312,Female,3,Sales Executive,4,Married,7918,No,14,3,5,3,11,10,4
35,No,Sales,314,Female,3,Sales Executive,3,Single,8789,No,14,3,3,4,10,7,0
29,Yes,Research & Development,315,Male,1,Research Scientist,4,Single,2389,Yes,13,3,3,2,4,3,0
52,No,Research & Development,316,Female,1,Laboratory Technician,4,Single,3212,No,15,3,3,2,2,2,2
42,No,Research & Development,319,Male,5,Manager,4,Married,19232,No,11,3,3,3,22,17,11
59,No,Human Resources,321,Male,1,Human Resources,3,Married,2267,No,17,3,2,2,2,2,2
50,No,Sales,323,Female,5,Manager,4,Divorced,19517,No,11,3,3,2,7,0,0
33,Yes,Research & Development,325,Male,1,Laboratory Technician,4,Married,2436,Yes,13,3,2,1,5,4,0
43,No,Sales,327,Female,4,Manager,4,Married,16064,Yes,22,4,3,3,17,13,1
33,Yes,Research & Development,328,Female,1,Laboratory Technician,1,Married,2707,No,20,4,3,4,9,7,1
52,No,Sales,329,Male,5,Manager,3,Single,19068,Yes,18,3,2,4,33,7,15
32,No,Sales,330,Female,1,Sales Representative,2,Married,3931,No,11,3,5,3,4,3,1
32,Yes,Research & Development,331,Male,1,Laboratory Technician,3,Single,3730,Yes,14,3,2,1,3,2,1
39,No,Research & Development,332,Female,1,Laboratory Technician,3,Divorced,2232,No,14,3,1,3,3,2,1
32,No,Sales,333,Male,2,Sales Executive,4,Married,4465,No,18,3,2,3,3,2,2
41,No,Research & Development,334,Male,2,Research Scientist,1,Divorced,3072,No,16,3,2,2,1,0,0
40,No,Research & Development,335,Male,2,Research Scientist,4,Divorced,3319,No,17,3,3,3,9,8,4
45,No,Research & Development,336,Male,5,Manager,4,Married,19202,No,11,3,2,3,24,0,1
31,No,Research & Development,337,Male,3,Research Director,3,Divorced,13675,No,12,3,3,3,2,2,2
33,No,Research & Development,338,Female,1,Research Scientist,4,Married,2911,No,13,3,2,2,2,2,0
34,No,Research & Development,339,Male,2,Manufacturing Director,1,Married,5957,No,13,3,3,3,11,9,5
37,No,Research & Development,340,Female,1,Research Scientist,1,Married,3920,No,14,3,2,2,3,1,0
45,No,Research & Development,341,Male,2,Manufacturing Director,3,Married,6434,No,17,3,1,3,3,2,0
37,Yes,Research & Development,342,Male,3,Manufacturing Director,3,Divorced,10048,No,11,3,5,3,1,0,0
39,No,Research & Development,343,Female,3,Healthcare Representative,3,Single,10938,No,25,4,1,3,19,6,11
29,No,Research & Development,346,Male,1,Research Scientist,4,Single,2340,No,19,3,1,3,6,5,1
42,No,Research & Development,347,Female,2,Research Scientist,1,Single,6545,Yes,13,3,1,3,3,2,0
29,No,Sales,349,Male,2,Sales Executive,4,Divorced,6931,No,14,3,2,3,3,2,0
25,No,Research & Development,350,Female,2,Manufacturing Director,3,Married,4898,No,12,3,3,3,4,2,1
42,No,Research & Development,351,Female,1,Laboratory Technician,1,Divorced,2593,Yes,11,3,4,3,9,6,7
40,No,Research & Development,352,Male,5,Research Director,3,Divorced,19436,No,19,3,5,3,21,7,3
51,No,Research & Development,353,Male,1,Research Scientist,4,Married,2723,No,11,3,0,2,1,0,0
31,Yes,Research & Development,355,Male,1,Laboratory Technician,2,Single,3479,No,11,3,2,4,5,4,1
32,No,Research & Development,359,Male,1,Laboratory Technician,2,Married,2794,No,20,4,3,1,5,1,0
38,No,Sales,361,Male,2,Sales Executive,4,Married,5249,No,18,3,0,3,8,7,7
32,No,Research & Development,362,Male,2,Laboratory Technician,1,Single,2176,No,13,3,5,3,6,2,0
46,No,Sales,363,Female,4,Manager,2,Married,16872,Yes,12,3,2,2,7,7,7
28,Yes,Research & Development,364,Male,1,Laboratory Technician,3,Single,3485,No,11,3,5,1,0,0,0
29,No,Sales,366,Male,2,Sales Executive,2,Married,6644,No,19,3,2,3,0,0,0
31,No,Research & Development,367,Male,2,Healthcare Representative,4,Married,5582,No,21,4,2,3,9,0,7
25,No,Research & Development,369,Male,2,Healthcare Representative,1,Divorced,4000,No,12,3,2,3,6,3,1
45,No,Research & Development,372,Male,4,Healthcare Representative,4,Married,13496,Yes,14,3,2,3,20,7,4
36,No,Research & Development,373,Male,1,Laboratory Technician,4,Married,3210,No,11,3,4,3,15,13,10
55,No,Research & Development,374,Male,5,Manager,1,Single,19045,Yes,14,3,2,3,36,10,4
47,Yes,Research & Development,376,Male,3,Manager,2,Married,11849,Yes,12,3,2,2,10,7,9
28,No,Research & Development,377,Male,1,Research Scientist,4,Married,2070,No,23,4,3,2,5,2,0
37,No,Sales,378,Male,2,Sales Executive,4,Married,6502,No,14,3,5,4,5,4,0
21,No,Research & Development,379,Male,1,Research Scientist,3,Single,3230,No,17,3,4,4,3,2,1
37,No,Research & Development,380,Female,3,Research Director,4,Divorced,13603,Yes,18,3,2,3,5,2,0
35,No,Research & Development,381,Female,3,Manager,2,Divorced,11996,No,18,3,6,2,7,7,6
38,No,Sales,382,Female,2,Sales Executive,1,Divorced,5605,Yes,24,4,3,3,8,0,7
